Плюс очко|Очевидное плюс очко.
Влад Сташевский|Плюс очко если у тебя нет друзей и врагов (на текущем стриме никого не двигал вперед или назад). Плюс очко если тебя уже никто не ждет (от тебя на расстоянии 30 клеток никого нет). Плюс очко если любовь здесь больше не живет (на текущем стриме не разговаривал в дискорде с участниками противоположного тебе пола). Минус очко в иных случаях.
Золотой Брадхайский ход|Бросаешь монетку на следующие условия: делаешь шаг вперед на карте или плюс очко. Если выпал шаг вперед на карте, ходишь и бросаешь монетку еще раз с теми же условиями. Если выпало плюс очко - монетку больше не бросаешь.
Спектрумовская монетка|Брось монетку. Свин - спецролл ZX Spectrum. Крысубль - бросаешь монетку еще раз.
Крысиный Император|Брось d6-кубик. Если выпало 5 или 6, то крадутся все Предметы и Эффекты у любого другого стримера на твой выбор. Но если выпало 1, 2, 3 или 4 то ты получаешь Темные времена, т.к. Император оказался свергнут, однако приспешники Императора успели украсть для тебя один Предмет из инвентаря любого другого стримера на твой выбор (даже Крысиный).
Гнездо Птичкерсов|Брось d10-кубик и положи в инвентарь выпавшее: 1-4: Птичкерс; 5-7: Улучшенный Птичкерс; 8-9: Редкий Птичкерс; 10 - Эпический Птичкерс.
Мешочек кубиков|Брось d10-кубик и положи в инвентарь выпавшее: 1-4: d4-кубик; 5-7: d8-кубик; 8-9: d10-кубик; 10 - d12-кубик.
Нора Крыс|Брось d10-кубик и положи в инвентарь выпавшее: 1-4: Крыса; 5-7: Улучшенная Крыса; 8-9: Редкая Крыса; 10 - Эпическая Крыса.
Мастерская Гремлинов|Брось d10-кубик и положи в инвентарь выпавшее: 1-4: Гремлин; 5-7: Улучшенный Гремлин; 8-9: Редкий Гремлин; 10 - Эпический Гремлин.
Пороховой склад|Брось d10-кубик и положи в инвентарь выпавшее: 1-4: Бомба; 5-7: Золотая Бомба; 8-9: Варп Бомба; 10 - Легендарная Бомба Хиган.
Карманный катаклизм|Бросаешь d4-кубик и идешь на выпавшее число вперед. Бросаешь d6-кубик и идешь на выпавшее число назад. Бросаешь d8-кубик и идешь на выпавшее число вперед. Бросаешь d10-кубик и идешь на выпавшее число назад. Бросаешь d12-кубик и идешь на выпавшее число вперед. Бросаешь d20-кубик и идешь на выпавшее число назад.
Спектрянка|Все Спецроллы в твоем инвентаре (даже Спецроллы повышенного приоритета, и они в таком случае остаются повышенного приоритета и даже Спецроллы повышенного приоритета с конкретной игрой) превращаются в ZX Spectrum (если присутствуют другие Спецроллы ZX Spectrum, то они остаются как есть). Если у тебя нет Спецроллов, то получаешь два Спецролла ZX Spectrum, один из которых повышенного приоритета. Кроме этого ты обязан выдать трем стримерам на свой выбор в онлайне Спектрумикроба. Если стримеров в онлайне один или два, не считая тебя - выдаешь всем. Если в онлайне только ты один, то увы - Спектрумикробы не раздаются. Если Спектрянка выпадает повторно в текущем сезоне RGG-LAND - реролл Колеса добра.
Запасной безупречный план Сноубоя по забору РГГ|Получи минус 5 очков для баланса. Теперь прокрути Колесо Добра и при этом прокруте, а также при следующих трех прокрутах Колеса Добра за донаты, пункт выбирается по названию (без подсказок из чата и просмотра описания) из пяти пунктов показанных на экране генератора. Учет прокрутов ведется в Заметках. Если ты будешь обязан выполнять несколько пунктов за один прокрут, то выбираются все. Имба, не?
Повышение ставок|После прохождения или дропа текущей игры получаешь два дополнительных d6-кубика для броска на ход. Сгорает без последствий при реролле игры. Записывается в Заметки.
А. Брадхай «Флора и Фауна РГГ-Ленда» Том I|Во имя изучения флоры и фауны РГГ-Ленда тебе необходимо раздать другим стримерам следующие Предметы. Каждому должно достаться по Предмету, если кому-то не досталось, то ему повезло (или не повезло). Предметы для раздачи: Лягушоид, Гандонопитек, Крысенштекс, Ездовой дракон, Проклятый Бомбический Свинопитек, Птичкерс, Ходулепитек, Змей Горыныч, Ракерштекс, Могвай, Свинья, Облеванная сова, Адская Химера, Оса.
А. Брадхай «Флора и Фауна РГГ-Ленда» Том II|Во имя изучения флоры и фауны РГГ-Ленда тебе необходимо раздать другим стримерам следующие Предметы. Каждому должно достаться по Предмету, если кому-то не досталось, то ему повезло (или не повезло). Предметы для раздачи: Морковка, Огурец, Черничка, Клубничка, Малинка, Смородинка, Вишенка, Ромашка, Хмель, Томат, Репка, Картошка, Арбуз, Апельсин, Сельдерей, Чеснок, Банан, Ракерштекс.
Абузер|Плюс очко если еще ни разу не телепортировался в этом сезоне. Минус очко в ином случае, грязный абузер сломанных механик!
Минус минус 3 очка|Минус на минус дает плюс, но не в РГГ. Получи минус 3 очка и выдай по минус 3 очка трем другим стримерам на твой выбор. Если решишь выбирать стримеров случайным образом, то дополнительно тебе еще минус 3 очка.
Богатые тоже плачут|Если у тебя больше 70 Монеток, получи 70 Слез (могут прибавиться сверх капа). Плюс очко в ином случае.
Телепорт на Старт|Да не трясись ты. Плюс очко.
Хайповоз|Если в течение десяти минут после выпадения данного пункта прилетает 5000 ₽ одним донатом, ты крутишь пять Колес добра по правилам «Пять по цене одного». Данный донат не идет в счет Колеса добра. Если донат данного размера так и не прилетел - плюс очко.
Легендарный Блокиратор|Данный Эффект находясь в инвентаре запрещает тебе использование любых предметов на неделю с момента получения этого Эффекта в инвентарь. Легендарный Блокиратор нельзя передать, своровать, уничтожить и превратить во что-либо.|lnk=https://images2.imgbox.com/1d/c3/KSfpLGQG_o.png
Самый важный выбор|Выбери какой из этих двух Эффектов тебе больше нравится - Амнезия или Мотивация. После выбора перейди по ссылке.|lnk=https://images2.imgbox.com/c0/cc/2sf2yElK_o.png
Самый вaжный выбор|Выбери какой из этих двух Эффектов тебе больше нравится - Амнезия или Мотивация. После выбора перейди по ссылке.|lnk=https://images2.imgbox.com/52/69/xSj7ILyY_o.png
Пароль: Пикнпайл|Плюс очко если в твоей текущей игре на тебя падали сверху геометрические фигуры. Минус очко в ином случае.
Ну вот на этот раз точно убираем Спектрум!|Спецролл Amstrad в инвентарь.
ДДДД|Брось кубик d4 со следующими исходами и положи выпавшее себе в инвентарь: 1 - Дырявый инвентарь; 2 - Дырявый сапог; 3 - Динамит; 4 - Доступный меч тысячи истин.
Алхимический эксперимент|Ты обязан использовать сейчас семь Зелий, не кладя их в инвентарь, строго на стримеров в онлайне. Нельзя использовать на одну цель более одного Зелья. Если стримеров в онлайне меньше чем Зелий, ну что ж, тогда Зелья, которые не достались никому, ты используешь на себя, даже если в их описании написано, что необходимо использовать на другого стримера. Список Зелий: 1 - Запретное Зелье; 2 - Зелье Райдена; 3 - Зелье бабушки; 4 - Зелье жадности; 5 - Зелье лозы; 6 - Зелье сброса; 7 - Зелье трансфигурации.
Ебемся ради Монеток и Добра|Если выполнишь прямо сейчас Квест с Доски объявлений, то твоя награда за него удваивается. Если у тебя очередь из Колес добра, то можно отложить выполнение пока не прокрутишь все Колеса, но чтобы сделал Квест сразу же после прокрутки. Забудешь - никакой двойной награды. Если Квесты на Доске объявлений отсутствуют, необходимо пойти и развести Хоста на добавление Квеста и соответственно выполнить его.
Выставка редких видов|Ты попал на выставку, где присутствуют очень редкие животные РГГ-Ленда. Вот так удача, они предлагают участникам возможность забрать себе одного из них, а ты как раз участник! Брось кубик d6 и положи в инвентарь выпавшее: 1 - Огненный Птичкерс; 2 - Колобок; 3 - Паук; 4 - Могвай; 5 - Медуза; 6 - Ежик.
Прыжки с закуской|Брось монетку где один исход это Томат в инвентарь и выполнение пункта Скачок, а второй - Щука в инвентарь и выполнение пункта Отскок. Невыпавший исход необходимо отдать рандомно выбранному стримеру в онлайне, а если в онлайне никого нет, то никуда и не отдается.
Магический ковбой|Получи Магический револьвер, Крысу, Гремлина и Птичкерса, а также минус 4 очка за доставку.
Кладовка|Выбери двух других стримеров в онлайне и соберись с ними в Дискорде. Теперь вы вместе разбираете Кладовку: каждый из собравшихся должен бросить кубик d20 и получить выпавшее: 1-3: Карманный дейлик и минус очко; 4-6: Жесткая шляпа и минус очко; 7-9: Добрый посыл и минус 2 очка; 10-12: Хайверовская мошна и минус 2 очка; 13-14: Эфемерный талон и минус 2 очка; 15-16: Охранное зелье и минус 3 очка; 17-18: Магический револьвер и минус 3 очка; 19-20: Заводной ключик и минус 3 очка. Реролл Колеса добра если ты один или в онлайне только два стримера, включая тебя.
Давай меняться!|Сейчас можешь обменять Бомбы любого типа в своем инвентаре на Картошки любого типа из инвентаря любого другого стримера на твой выбор по курсу один к одному. Или наоборот обменять Картошки на Бомбы по той же схеме. Согласия другого стримера для этого не требуется. Если у тебя нет ни Бомб ни Картошек или ты не хочешь менять свои - реролл Колеса добра.
Армянский геймер|Если в статистике в разделе «Часов в играх» у тебя 37% и менее - плюс 2 очка. Минус очко в ином случае.
Игровой лут|Ты получаешь Предмет в свой инвентарь в зависимости от жанра игры в которую сейчас играешь. Survival - Аптечка; Shooter - Автомат; Beat-'Em-Up - Апперкот; Fighting - Get your ass back here; Strategy - Шляпа Командора; Action - Рокетджамп; Adventure - Меч правосудия; Puzzle - Значок старшего детектива Нямуры; Racing - Зелье ускорения; Roguelike - Кубик Айзека; Turn-Based - Башмак; JRPG - Жабье зелье; Platformer - Квантовый прыжок; Rhythm - Зелье сильной тряски; Shoot-'Em-Up - Аннигиляторная пушка; Simulation - Эфемерный талон; Sports - Крыссовки; Visual Novel - Клубничка; Point-and-Click - Отмычка; Role-Playing - Посох безумия; Text - Машина времени; Fishing - Легендарный Карп; Metroidvania - Компас; Tactical - Зелье тактического отступления. Если у твоей игры прописано несколько жанров, то получаешь Предмет за каждый указанный жанр.|lnk=https://gamefaqs.gamespot.com/
Минус очко в ином случае|Открывай другие четыре пункта Колеса на экране сверху вниз и выполняй их. Пункты, требующие реролла Колеса добра игнорируются. Если в каком-либо из пунктов есть фраза «Минус очко в ином случае», после выполнения этого пункта идешь на одну клетку назад. Минус очко если в этих четырех пунктах Колеса нет фразы «Минус очко в ином случае».
Плюс очко в ином случае|Открывай другие четыре пункта Колеса на экране сверху вниз и выполняй их. Пункты, требующие реролла Колеса добра игнорируются. Если в каком-либо из пунктов есть фраза «Плюс очко в ином случае», после выполнения этого пункта идешь на одну клетку вперед. Плюс очко если в этих четырех пунктах Колеса нет фразы «Плюс очко в ином случае».
Я роняю Спектрум, У!|Плюс очко за каждую пройденную или дропнутую тобой игру на ZX Spectrum в этом сезоне. Если ты еще не сталкивался со Спектрумом в этом сезоне, получи плюс очко и Спецролл ZX Spectrum в инвентарь, начинать никогда не поздно.
Принцесса против удаления Амстрада|Плюс очко за каждую пройденную или дропнутую тобой игру на Le Amstrad в этом сезоне. Если ты еще не сталкивался со Амстрадом в этом сезоне, получи плюс очко и Спецролл Le Amstrad в инвентарь, начинать никогда не поздно.
Четные, классические, винтажные|Выполни пункты Колеса добра №2, №4, №6 и №8 из Кодекса.
Нечетные, классические, винтажные|Выполни пункты Колеса добра №1, №3, №5 и №7 из Кодекса.
Амстрад и Спектрум|Если ты не знаешь что такое Амстрад и Спектрум, зайди к Хосту - узнаешь. Если знаешь - Спецроллы Le Amstrad и ZX Spectrum тебе в инвентарь.
Лева и Картофель фря|Если выполнен четвертый дейлик (счет сверху вниз), то Котик в инвентарь. Выполняешь пункт Фритюрница в ином случае.
Воруй-Убивай|Все Предметы в твоем инвентаре кроме Оружия и Крысиных Предметов уничтожаются. После уничтожения Предметов ты получаешь Запаянный Крысиный сундук и Запаянный Оружейный сундук, а также одного Гремлина. Если в инвентаре нечего уничтожать или Предметы невозможно уничтожить - Крыса и Пистолет в инвентарь.
RGG-LAND для Low ICQ стримеров|Плюс очко если была реролльнута образовательная игра, плюс 2 очка если такая игра была дропнута. Минус очко если играешь в образовательную игру прямо сейчас, минус 2 очка если такая игра была пройдена, че самый умный что ли? Реролл Колеса добра если образовательные игры не попадались.
Безумие космических масштабов|Все Спецроллы в твоем инвентаре превращаются в Durka. Если у тебя нет Спецроллов или и так одни Дурки - получаешь Durka. Если все Спецроллы у тебя приоритетные - получаешь Durka повышенного приоритета.
Шнум и РГГ|За каждую дропнутую игру в текущем сезоне RGG-LAND бросаешь сейчас монетку на плюс-минус очко. Если ты Шнум, то бросаешь монетку на плюс два-минус два очка. Если не дропал игры - реролл Колеса добра.
Хост всему голова|Зайди сейчас на стрим к Хосту. Если в данный момент хост Нюк - Легендарный Спецролл Нюка тебе в инвентарь. Если Варан - Вараноид тебе в инвентарь. Если Негативчик - Отрицательный Спецролл тебе в инвентарь. Если Пинг - Легендарный Пинговский Котячий Спецролл тебе в инвентарь. Если стул - Доступный меч тысячи истин тебе в инвентарь. Если в данный момент на стриме хоста несколько людей из вышеперечисленного списка - скажи об этом Хостам и пусть сами решают что именно тебе выполнять.
Прием у доктора Марио|Сомнительная идея - идти на медосмотр к водопроводчику. Если в текущей игре ты видел Марио, грибы или трубы - все Предметы в твоем инвентаре уничтожаются. Минус очко в ином случае.
Не будет ли переизбытка Предметов и Эффектов в инвентаре?|Ба-бах! Не будет.
Лишенная Дзена Зона Нуля|Если ты находишься на клетке с номером, число которой содержит цифру 0 - плюс 5 очков. В ином случае телепортируешься на ближайшую клетку в числе которой есть цифра 0. Если таких ближайших клеток несколько, то клетка на твой выбор.
Retro RGG|Если твоя текущая игра - это игра на восьмибитной или шестнадцатибитной приставке - плюс 2 очка. Минус очко в ином случае. Минус 2 очка если ты не ебешь сколько бит у твоей текущей приставки и спросил об этом у чата, а минус 3 очка если спросил об этом у Хоста.
Машина (не времени)|Если в текущем сезоне RGG-LAND ты не сделал ни одного дропа, заролль случайное число из диапазона где первое число это 1, а второе число - число пройденных тобой игр в текущем сезоне. Сколько выпало - на столько клеток идешь вперед. Если не прошел еще ни одной игры и не дропнул - шаг вперед авансиком. Если был хотя бы один дроп - минус 2 очка.
СкукоживаниеGHK|Минус очко тебе. Если в текущем сезоне RGG-LAND участвует ИгорьГХК, то минус очко ему, а не тебе. Если ты ИгорьГХК - получи столько плюс очков, сколько сейчас стримеров-участников в онлайне - произошло раскукоживание.
ТильтовозGHK|Плюс очко тебе. Если в текущем сезоне RGG-LAND участвует ИгорьГХК, то минус 2 очка ему. Если ты ИгорьГХК - получи столько минус очков, сколько сейчас стримеров-участников в онлайне.
Оценщик картин|Плюс очко если в твоей текущей игре есть картины. Дополнительное плюс очко если встанешь у одной из картин и после задумчивого молчания и многозначительного хмыкания, оценишь ее. Минус очко в ином случае.
Ебать как смело!|Можешь превратить любое количество Эффектов в твоем инвентаре в Бомбы с таймером 1. А можешь не превращать - плюс очко тогда.
Потерянная пасека Хорикоумы|Три Пчелы в инвентарь и минус очко от ужаливания.
Следующее Колесо будет хорошим|...а пока минус 2 очка.
Это тебе за ИгоряГХК нахуй!|Получаешь в инвентарь Оружейный Лутбокс и сразу используешь его. Полученное в нем Оружие необходимо сразу же использовать на рандомно выбранного стримера в онлайне. Если в онлайне никого нет - используешь в оффлайне. Если в текущем сезоне участвует ИгорьГХК и он онлайн - стреляешь в него. Во взаимодействии обязан написать «Это тебе за ИгоряГХК нахуй!».
АМ|Есть два стула: АМстрад и АМига. На какой сядешь сам (положишь себе в инвентарь), на какой друга посадишь (выдашь соответствующий Спецролл любому другому стримеру)?
Золотой билет|Если, играя в свою текущую игру, найдешь предмет (или уже находил), который также есть среди Предметов в Кодексе текущего сезона RGG-LAND, то добавляешь этот Предмет (только один) к себе в инвентарь. Реролл Колеса добра если предметов не нашлось или не хочешь их искать.
Пул|Плюс очко если в твоей текущей игре ты видел бассейн. Минус очко в ином случае. Если ты Пул - бассейн искать не нужно, запиши себе плюс 2 очка.
Коти не одобряет|Минус очко если у тебя есть борода или усы. Плюс очко в ином случае. Если ты женского пола - реролл Колеса добра, у нас тут не евровидение.
Энтропия|Бросаешь монетку на уничтожение у тебя всех Спецроллов или ничего. Затем на уничтожение у тебя всех Предметов или ничего. Затем на уничтожение у тебя всех Эффектов или ничего. Затем на обнуление своих очков или ничего. Если повезло и во всех четырех случаях твой инвентарь остался цел или если у тебя и так пустой инвентарь и было ноль очков, передаешь выполнение этого пункта Колеса любому другому стримеру в онлайне, а если онлайн никого нет, то в оффлайне. Нельзя передать пункт тому у кого пустой инвентарь и ноль очков.
Глазами Игоря|Начинается все с того, что любой читающий (да-да, именно ты, дорогой обозреватель строк, вне зависимости от того, считал ли ты себя уже дочитавшим это место или ещё нет) обнаруживает, будто бы между буквами «а» и «б» внезапно проскальзывает третья буква — та самая, которой в обычном алфавите нет, но все делают вид, что заметили. Эта буква отвечает за сдвиг контекста на пол-полосы вправо, где встречно движущаяся запятая успевает потерять ориентацию и, спотыкаясь о тире, переворачивает смысл предыдущего предложения на девяносто девять целых, девять десятых градуса.Отныне каждое следующее слово наследует ударение от своего левого соседа, а согласные искажаются до состояния, в котором «м» звучит как «р», «р» — как шёпот отсутствия, а отсутствие — как вполне отчетливое «плюс». При этом всякий, кто попытается расшифровать цепочку и вывести числовой итог, автоматически приходит к выводу, что, как ни считай, выходит один — разумеется, со знаком «положительно», ведь отрицательное здесь отменено предыдущими тремя оговорками (см. подпункт 7.3.1, утративший силу в тот момент, когда ты о нём подумал).Исключение, прописанное микроскопическим шрифтом на левой грани правого поля, утверждает обратное ровно для того единственного наблюдателя, чьё буквенное самоназвание совпадает с последовательностью I g o r G H K (регистр не меняет сути, равно как и расстановка пробелов). В силу изящно-криволинейной логики данного параграфа именно эта последовательность, будучи прочитана «нормально» (то есть без пропуска каждых двух-с-половиной символов), порождает минус пять очков — наказание за то, что вместо правильно и постепенного прочтения пункта буква за буквой, ты сделал выводы не имеющие ничего общего с действительностью.Всем же прочим, кто честно сбился со счёта еще на втором витке запутывания, достается ровно то, что и положено: плюс одно очко — без усилий, без пояснений, без видимых причин, просто по факту того, что строка закончилась и новый абзац так и не успел начаться.
Специальный имбовый пункт для Шнума по просьбе Шнума|Однажды Шнуму приснилось, что ему выпал пункт с получением халявных плюс 100 очков, но потом он проснулся и осознал, что в RGG такого быть просто не может. Плюс очко, но если ты Шнум то после плюс очка получаешь минус 2 очка.
Привет от Веталя|Забираешь себе Картошку с самым большим счетчиком среди всех стримеров, кроме тебя. Если таких Картошек несколько - забираешь все. Если ни у кого нет Картошки, то добавляешь себе Картошку со счетчиком 5. После этого рандомишь стримера из тех кто онлайн (а если никого нет онлайн, то оффлайн) и выдаешь ему Колорадского жука, а себе добавляешь Бульбамет.
Плюс очки минус бомбы|Выбираешь любого стримера, включая себя, и этот стример получает количество плюс очков равное сумме счетчиков с Бомб любого типа в его инвентаре. Бомбы при этом уничтожаются без последствий. Если ни у кого нет Бомб - Детонатор в инвентарь.
Любишь запах напалма по утрам?|Получаешь три Бомбы со счетчиком 1 в инвентарь. Затем бросаешь монетку на каждую - передаешь Бомбу сразу же или оставляешь у себя.
Кот Леопольд|Котик, две Крысы и Пацифизм в инвентарь.
Лада Дэнс|Плюс очко если ты Девочка-ночь (женского пола и сейчас темное время суток по твоему времени). Минус очко в ином случае.
Озверин|Котик, Бомбическое Зелье и Ящик патронов в инвентарь.
Командный игрок|Плюс очко если ты состоишь в каком-либо скваде на Твиче, должна же быть хоть какая-то от них польза лол. Минус очко в ином случае.
Смешная шутка от всего сердца|Плюс 3 очка, пройди на две клетки назад, получи в инвентарь Баклажан и Бомбу со счетчиком 1. Вот такой я шутник.
I wanna be the Boshy|Путь Боли в инвентарь.
Крысиный Легион|Брось кубик d6 и получи выпавшее число Крыс в инвентарь.
Кавайная секретарша|Если твоя текущая игра является карточной, паззлом или три-в-ряд, то получаешь Шоколадку как ответственный сотрудник офиса. Если нет - реролл Колеса добра, т.к. собеседование ты не проходишь. Если ты Кавай - получаешь две Шоколадки.
Бомбический план Кавая|Получи в инвентарь три Бомбы и Толстяка.
Что было сегодня на РГГ?|Если на текущем стриме ты прокрутил больше пятидесяти Колес добра, то покрути еще три. Минус очко в ином случае, чем ты вообще занимался?
Позитивный, добрый пункт :)|Ха, наебал. Или не наебал? Вот это фокус? Или не фокус? Вроде есть нюанс? Блин, короче, я запутался уже, поэтому, просто получи плюс очко и иди отсюда на одну клетку вперед.
Вас точно не обманут|Ну да, все честно, просто получи минус очко и иди на одну клетку назад.
Сны Глеба|Если ты являешься действующим рекордсменом глобального ивента в Streets of Rage, то можешь подвинуть назад любого участника на количество клеток по формуле (√x*2)/(1+2)^2, где х - это количество монет передвигаемого. Перед взаимодействием не забудь зайти к Нюку и убедиться, что он стал армянином. Если хотя бы одно условие не выполняется - плюс очко и реролл Колеса добра.
Головоломный Добряк|Если в текущем сезоне RGG-LAND прошел хотя бы один дейлик-головоломку - плюс очко. Дополнительное плюс очко если очень страдал или даже плакал при этом. Минус очко в ином случае.
Обратная тяга Шнума|Получи столько плюс очков сколько у тебя дропов в текущем сезоне. Шаг вперед на карте, если дропов нет.
Шнум М.А. «Справочник суетолога РГГ-Ленда»|Ты получаешь арсенал и двигаешь стримеров по своему усмотрению. Если кому-то чего-то не досталось, то и хорошо, к кому-нибудь можно и проявить милосердие. Список жертв и Оружия, которое применяется к ним: Жертва №1 - Рогатка; Жертва №2 - Динамит; Жертва №3 - Граната; Жертва №4 - Пистолет; Жертва №5 - Автомат; Жертва №6 - Снайперская винтовка; Жертва №7 - Кулак на пружине; Жертва №8 - Ружье негодяя; Жертва №9 - Необычная винтовка; Жертва №10 - Красное ружье; Жертва №11 - Чури цыганского барона; Жертва №12 - Винтовка; Жертва №13 - Томагавк; Жертва №14 - Мьельнир; Жертва №15 - Связка гранат; Жертва №16 - Слонобой; Жертва №17 - Посох безумия.
Шнум М.А. «Справочник суетолога РГГ-Ленда» Издание 2-е исправленное и дополненное|Ты получаешь арсенал и обязан использовать сейчас все нижеописанные Предметы в порядке их написания, даже если у тебя есть Эффекты или сейчас есть глобальный ивент, который противоречит таким действиям. Итак, ты юзаешь: Секира Перуна, Баллистическая ракета, Лазер, Дракарис, Противотанковое ружье, Катапульта, Аннигиляторная пушка, Обходешник (при условии что хотя бы один стример, и это не ты, находится в зоне Обхода). Все взаимодействия по этим оружиям необходимо прописывать отдельно, порядок взаимодействий - как написано в пункте.
Как-то МЕГА несправедливо на эвенте ЗАСТАВЛЯТЬ покупать игры за СВОИ деньги|Если в текущем сезоне RGG-LAND ты купил игр на 3000 ₽ и более - возвращение средств на карту... Так, стоп. Никаких возвратов средств не предусмотрено. В утешение сбрось стоимость Колеса добра до начальной, а если стоимость Колеса добра и так начальная - Карманный Гитман в инвентарь, там ничего покупать не нужно. Если на такую сумму не накупил - спецролл Steam тебе в подарок, давай покупай быстрее.
Ночной суетолог|Если сейчас ночь по твоему текущему времени (00:00-06:00), то все стримеры в онлайне, включая тебя, бросают монетку на вперед или назад и идут на такое количество клеток в выпавшем направлении сколько сейчас часов. Если сейчас промежуток (00:00-00:59), то идут на количество клеток равное количеству стримеров в онлайне. Реролл Колеса добра в ином случае.
ПросТИЛЬТе|Если последние пять изменений подряд твоих очков были отрицательные, то получай плюс 5 очков. Два шага назад в ином случае.
Простите|Если последние пять изменений подряд твоих очков были положительные, то получай минус 5 очков. Два шага вперед в ином случае.
Mифический тильтовоз ЛапкиЖКХ|Иди на тридцать клеток назад. А затем перейди по ссылке.|lnk=https://images2.imgbox.com/53/72/efr4tnWo_o.png
Калибровка|Брось кубик d10. Затем брось монетку на вперед или назад и телепортируйся на количество клеток выпавшее на d10-кубике в сторону выпавшую на монетке.
Point-and-click|Прямо сейчас обязан показать на вебку предмет, название которого начинается на первую букву твоего никнейма на Твиче. Плюс очко если такой предмет нашелся. Дополнительное плюс очко если нашлось два таких предмета. Минус очко в ином случае. Если стримишь без вебки, то постишь фотку предмета в свой Телеграм-канал. Если нет телеграм-канала, пора бы уже давно блядь завести - заводишь его прямо сейчас. Если у тебя проблема с транслитерацией своего никнейма на русский язык, воспользуйся ссылкой.|lnk=https://translit.net/
Четыре часа|Минус очко если твоя текущая игра проходится по лонгплею меньше чем за четыре часа. Хуле, игра-то легкая. Плюс очко в ином случае. Считается первый найденный лонгплей у которого в названии есть слово longplay. Если лонгплей у игры отсутствует - реролл Колеса добра.
